"Species"
"laetia thamnia"
"lafoensia punicifolia"
"gordonia fruticosa"
"unidentified sp.11"
"unidentified sp.13"
"unidentified sp.14"
"unidentified sp.15"
"unidentified sp.16"
"unidentified sp.17"
"unidentified sp.18"
"unidentified sp.19"
"unidentified sp.4"
"unidentified sp.5"
"unidentified sp.8"
"laxoplumeria tessmannii"
"leandra dichotoma"
"leandra granatensis"
"lecointea amazonica"
"lecythis ampla"
"leonia glycycarpa"
"licaria sp.2"
"licaria excelsa"
"licaria misantlae"
"licania sp.1"
"licania coba"
"licania affinis"
"licania arborea"
"licania cruegeriana"
"licania fasciculata"
"licania hypoleuca"
"licania kallunkii"
"licania macrocarpa"
"licania morii"
"licania platypus"
"lindackeria laurina"
"lonchocarpus atropurpureus"
"lonchocarpus heptaphyllus"
"lonchocarpus oliganthus"
"pavonia dasypetala"
"lozania pittieri"
"luehea seemannii"
"luehea speciosa"
"lunania parviflora"
"lycianthes maxonii"
"mabea occidentalis"
"macrolobium costaricense"
"macrolobium pittieri"
"machaerium biovulatum"
"maclura tinctoria"
"macoubea mesoamericana"
"macrocnemum roseum"
"malmea dimera"
"mosannona garwoodii"
"malouetia isthmica"
"malpighia albiflora"
"malpighia romeroana"
"mammea immansueta"
"mangifera indica"
"manilkara sp.1"
"manilkara bidentata"
"manilkara zapota"
"maprounea guianensis"
"maquira guianensis"
"marila sp.1"
"marila sp.3"
"marila domingensis"
"marila lactogena"
"marila laxiflora"
"marila pluricostata"
"maranthes panamensis"
"margaritaria nobilis"
"matayba apetala"
"matayba glaberrima"
"matayba scrobiculata"
"matisia exalata"
"matisia jefensis"
"matisia sanblasensis"
"mayna odorata"
"maytenus sp.1"
"maytenus schippii"
"unidentified sp.4"
"meliosma hoja_grande"
"meliosma glabrata"
"meliosma grandiflora"
"meliosma idiopoda"
"meliosma occidentalis"
"miconia sp.10"
"miconia sp.14"
"miconia sp.3"
"miconia sp.5"
"miconia sp.9"
"miconia affinis"
"miconia argentea"
"miconia centronioides"
"miconia dorsiloba"
"miconia elata"
"miconia hondurensis"
"miconia impetiolaris"
"miconia ligulata"
"miconia multispicata"
"miconia nervosa"
"miconia poeppigii"
"miconia prasina"
"miconia punctata"
"miconia reducens"
"miconia serrulata"
"miconia simplex"
"miconia trinervia"
"miconia umbriensis"
"micropholis melinoniana"
"micropholis venulosa"
"minquartia guianensis"
"mollinedia darienensis"
"mollinedia pinchotiana"
"mortoniodendron sp.1"
"mortoniodendron anisophyllum"
"mosquitoxylum jamaicense"
"mouriri coba"
"mouriri cf.completens"
"mouriri aff.exilis"
"mouriri myrtilloides"
"mouriri panamensis"
"muntingia calabura"
"myrciaria sp.1"
"myrciaria sp.2"
"myrciaria floribunda"
"myrcia sp.4"
"myrcia sp.5"
"myrcia sp.6"
"myrcia gatunensis"
"myrcia panamensis"
"myrcia splendens"
"aulomyrcia zetekiana"
"myriocarpa longipes"
"myrospermum frutescens"
"myrsine sp.1"
"unidentified sp.11"
"unidentified sp.13"
"unidentified sp.15"
"unidentified sp.16"
"unidentified sp.17"
"unidentified sp.18"
"unidentified sp.19"
"unidentified sp.20"
"unidentified sp.21"
"naucleopsis capirensis"
"naucleopsis straminea"
"naucleopsis ulei"
"nectandra sp.11"
"nectandra sp.12"
"nectandra sp.3"
"nectandra sp.9"
"nectandra cissiflora"
"nectandra cuspidata"
"nectandra lineata"
"nectandra martinicensis"
"nectandra purpurea"
"nectandra fuzzy"
"nectandra sp.4_(tiny_leaf)"
"neea sp.1"
"neea sp.2"
"neea sp.3"
"neea sp.4"
"neea roja"
"neea sp.7"
"neea amplifolia"
"neea delicatula"
"neea laetevirens"
"guapira campochagres"
"ochroma pyramidale"
"ocotea sp.13"
"ocotea sp.14"
"ocotea sp.17"
"ocotea sp.18"
"ocotea sp.19"
"ocotea sp.5"
"ocotea sp.6"
"ocotea sp.7"
"ocotea sp.9"
"ocotea arcuata"
"ocotea cernua"
"ocotea dendrodaphne"
"ocotea endresiana"
"ocotea hartshorniana"
"ocotea helicterifolia"
"ocotea insularis"
"ocotea jorge-escobarii"
"ocotea leucoxylon"
"ocotea oblonga"
"ocotea atirrensis"
"ocotea puberula"
"ocotea rubrinervis"
"ocotea tonduzii"
"ocotea veraguensis"
"ocotea whitei"
"oenocarpus mapora"
"trophis caucana"
"oreopanax sp.2"
"oreopanax capitatus"
"ormosia amazonica"
"ormosia coccinea"
"ormosia macrocalyx"
"osteophloeum platyspermum"
"otoba acuminata"
"otoba novogranatensis"
"otoba parvifolia"
"ouratea prominens"
"ouratea knappiae"
"ouratea lucens"
"oxandra longipetala"
"oxandra panamensis"
"palicourea guianensis"
"panopsis suaveolens"
"parathesis sp.1"
"parathesis amplifolia"
"parkia nitida"
"parmentiera cereifera"
"pentagonia costaricensis"
"pentagonia gymnopoda"
"pentagonia macrophylla"
"pentagonia parvifolia"
"pera arborea"
"perebea sp.1"
"perebea angustifolia"
"perebea guianensis"
"perebea xanthochyma"
"phoebe sp.1"
"cinnamomum triplinerve"
"phyllanthus acuminatus"
"picramnia latifolia"
"piper sp.5"
"piper sp.6"
"piper sp.7"
"piper sp.8"
"piper arboreum"
"piper augustum"
"piper aequale"
"piper auritum"
"piper schiedeanum"
"piper cordulatum"
"piper colonense"
"piper grande"
"piper hispidum"
"piper imperialis"
"piper longispicum"
"piper perlasense"
"piper reticulatum"
"abarema barbouriana"
"zygia dinizii"
"abarema macradenia"
"cojoba rufescens"
"platymiscium pinnatum"
"platypodium elegans"
"pleuranthodendron lindenii"
"pleurothyrium sp.2_(hoja_grande)"
"pleurothyrium aff.hexaglandulosum"
"pleurothyrium racemosum"
"pachira aquatica"
"pachira quinata"
